Course_ID,Section,Semester,Type,Weekly_Count,Duration,Delivery_Mode,,,,,,,,
MBA203,MBA_Sem2_A,sem2,Lecture,4,1,Offline,,,,,,,,
MBA204,MBA_Sem2_A,sem2,Lecture,4,1,Offline,,,,,,,,
BC201,MBA_Sem2_A,sem2,Lecture,3,1,Offline,,,,,,,,
MBA107,MBA_Sem2_A,sem2,Lecture,3,1,Offline,,,,,,,,
MBA305,MBA_Sem3_A,sem3,Lecture,4,1,Offline,,,,,,,,
MGT301,MBA_Sem3_A,sem3,Lecture,3,1,Offline,,,,,,,,
MBA306,MBA_Sem3_A,sem3,Lecture,4,1,Offline,,,,,,,,
FIN302,MBA_Sem3_A,sem3,Lecture,4,1,Offline,,,,,,,,
MKT301,MBA_Sem3_A,sem3,Lecture,4,1,Offline,,,,,,,,
ETSM600,MBA_Sem3_A,sem3,Lecture,1,1,Offline,,,,,,,,
ENT401,MBA_Sem4_A,sem4,Lecture,4,1,Offline,,,,,,,,
IBM401,MBA_Sem4_A,sem4,Lecture,3,1,Offline,,,,,,,,
ETSM800,MBA_Sem4_A,sem4,Lecture,1,1,Offline,,,,,,,,
MGT101,MBA_Sem1_B,sem1,Lecture,4,1,Offline,,,,,,,,
FIN101,MBA_Sem1_B,sem1,Lecture,4,1,Offline,,,,,,,,
MKT101,MBA_Sem1_B,sem1,Lecture,3,1,Offline,,,,,,,,
STAT101,MBA_Sem1_B,sem1,Lecture,4,1,Offline,,,,,,,,
MBA105,MBA_Sem1_B,sem1,Lecture,3,1,Offline,,,,,,,,
BC101,MBA_Sem1_B,sem1,Lecture,3,1,Offline,,,,,,,,
HRM201,MBA_Sem2_B,sem2,Lecture,3,1,Offline,,,,,,,,
MBA202,MBA_Sem2_B,sem2,Lecture,4,1,Offline,,,,,,,,
MBA203,MBA_Sem2_B,sem2,Lecture,4,1,Offline,,,,,,,,
MBA204,MBA_Sem2_B,sem2,Lecture,4,1,Offline,,,,,,,,
BC201,MBA_Sem2_B,sem2,Lecture,3,1,Offline,,,,,,,,
MBA107,MBA_Sem2_B,sem2,Lecture,3,1,Offline,,,,,,,,
MBA305,MBA_Sem3_B,sem3,Lecture,4,1,Offline,,,,,,,,
MGT301,MBA_Sem3_B,sem3,Lecture,3,1,Offline,,,,,,,,
MBA306,MBA_Sem3_B,sem3,Lecture,4,1,Offline,,,,,,,,
FIN302,MBA_Sem3_B,sem3,Lecture,4,1,Offline,,,,,,,,
MKT301,MBA_Sem3_B,sem3,Lecture,4,1,Offline,,,,,,,,
ETSM600,MBA_Sem3_B,sem3,Lecture,1,1,Offline,,,,,,,,
ENT401,MBA_Sem4_B,sem4,Lecture,4,1,Offline,,,,,,,,
IBM401,MBA_Sem4_B,sem4,Lecture,3,1,Offline,,,,,,,,
ETSM800,MBA_Sem4_B,sem4,Lecture,1,1,Offline,,,,,,,,
MGT101,MBA_Sem1_C,sem1,Lecture,4,1,Offline,,,,,,,,
FIN101,MBA_Sem1_C,sem1,Lecture,4,1,Offline,,,,,,,,
MKT101,MBA_Sem1_C,sem1,Lecture,3,1,Offline,,,,,,,,
STAT101,MBA_Sem1_C,sem1,Lecture,4,1,Offline,,,,,,,,
MBA105,MBA_Sem1_C,sem1,Lecture,3,1,Offline,,,,,,,,
BC101,MBA_Sem1_C,sem1,Lecture,3,1,Offline,,,,,,,,
HRM201,MBA_Sem2_C,sem2,Lecture,3,1,Offline,,,,,,,,
MBA202,MBA_Sem2_C,sem2,Lecture,4,1,Offline,,,,,,,,
MBA203,MBA_Sem2_C,sem2,Lecture,4,1,Offline,,,,,,,,
MBA204,MBA_Sem2_C,sem2,Lecture,4,1,Offline,,,,,,,,
BC201,MBA_Sem2_C,sem2,Lecture,3,1,Offline,,,,,,,,
MBA107,MBA_Sem2_C,sem2,Lecture,3,1,Offline,,,,,,,,
MBA305,MBA_Sem3_C,sem3,Lecture,4,1,Offline,,,,,,,,
MGT301,MBA_Sem3_C,sem3,Lecture,3,1,Offline,,,,,,,,
MBA306,MBA_Sem3_C,sem3,Lecture,4,1,Offline,,,,,,,,
FIN302,MBA_Sem3_C,sem3,Lecture,4,1,Offline,,,,,,,,
MKT301,MBA_Sem3_C,sem3,Lecture,4,1,Offline,,,,,,,,
ETSM600,MBA_Sem3_C,sem3,Lecture,1,1,Offline,,,,,,,,
ENT401,MBA_Sem4_C,sem4,Lecture,4,1,Offline,,,,,,,,
IBM401,MBA_Sem4_C,sem4,Lecture,3,1,Offline,,,,,,,,
ETSM800,MBA_Sem4_C,sem4,Lecture,1,1,Offline,,,,,,,,
MBA105,MBA_Sem1_A,sem1,Lab,1,2,Offline,,,,,,,,
MBA202,MBA_Sem2_A,sem2,Lab,1,2,Offline,,,,,,,,
MBA203,MBA_Sem2_A,sem2,Lab,1,2,Offline,,,,,,,,
MBA305,MBA_Sem3_A,sem3,Lab,1,2,Offline,,,,,,,,
FIN302,MBA_Sem3_A,sem3,Lab,1,2,Offline,,,,,,,,
MBA105,MBA_Sem1_B,sem1,Lab,1,2,Offline,,,,,,,,
MBA202,MBA_Sem2_B,sem2,Lab,1,2,Offline,,,,,,,,
MBA203,MBA_Sem2_B,sem2,Lab,1,2,Offline,,,,,,,,
MBA305,MBA_Sem3_B,sem3,Lab,1,2,Offline,,,,,,,,
FIN302,MBA_Sem3_B,sem3,Lab,1,2,Offline,,,,,,,,
MBA105,MBA_Sem1_C,sem1,Lab,1,2,Offline,,,,,,,,
MBA202,MBA_Sem2_C,sem2,Lab,1,2,Offline,,,,,,,,
MBA203,MBA_Sem2_C,sem2,Lab,1,2,Offline,,,,,,,,
MBA305,MBA_Sem3_C,sem3,Lab,1,2,Offline,,,,,,,,
FIN302,MBA_Sem3_C,sem3,Lab,1,2,Offline,,,,,,,,
MGT101,MBA_Sem1_O,sem1,Online,2,1,Online,,,,,,,,
FIN101,MBA_Sem1_O,sem1,Online,2,1,Online,,,,,,,,
MKT101,MBA_Sem1_O,sem1,Online,2,1,Online,,,,,,,,
STAT101,MBA_Sem1_O,sem1,Online,2,1,Online,,,,,,,,
MBA105,MBA_Sem1_O,sem1,Online,2,1,Online,,,,,,,,
BC101,MBA_Sem1_O,sem1,Online,2,1,Online,,,,,,,,
HRM201,MBA_Sem2_O,sem2,Online,2,1,Online,,,,,,,,
MBA202,MBA_Sem2_O,sem2,Online,2,1,Online,,,,,,,,
MBA203,MBA_Sem2_O,sem2,Online,2,1,Online,,,,,,,,
MBA204,MBA_Sem2_O,sem2,Online,2,1,Online,,,,,,,,
BC201,MBA_Sem2_O,sem2,Online,2,1,Online,,,,,,,,
MBA107,MBA_Sem2_O,sem2,Online,2,1,Online,,,,,,,,
MBA305,MBA_Sem3_O,sem3,Online,2,1,Online,,,,,,,,
MGT301,MBA_Sem3_O,sem3,Online,2,1,Online,,,,,,,,
MBA306,MBA_Sem3_O,sem3,Online,2,1,Online,,,,,,,,
FIN302,MBA_Sem3_O,sem3,Online,2,1,Online,,,,,,,,
MKT301,MBA_Sem3_O,sem3,Online,2,1,Online,,,,,,,,
ETSM600,MBA_Sem3_O,sem3,Online,2,1,Online,,,,,,,,
ENT401,MBA_Sem4_O,sem4,Online,2,1,Online,,,,,,,,
IBM401,MBA_Sem4_O,sem4,Online,2,1,Online,,,,,,,,
ETSM800,MBA_Sem4_O,sem4,Online,2,1,Online,,,,,,,,
